,ID,Position,FullName,Team,TOI,OT,SO,T,W,L,Saves,PPSaves,SHSaves,EVSaves,SHShots,EVShots,PPShots,SvPct,GAA,G,GS,ShotsAgainst,GoalsAgainst,TOIperGame,PPSvPct,SHSvPct,EVSvPct
41,8475839,G,Louis Domingue,Calgary Flames,802:19,2,0,0,3,9,382,42,12,328,13,370,50,0.882,3.8139999999999996,17,15,433,51,47:11,84.0,92.30769230769229,88.64864864864866
42,8479496,G,David Rittich,Calgary Flames,2791:58,6,2,0,24,17,1340,187,40,1113,47,1219,212,0.907,2.9657,48,48,1478,138,58:09,88.2075471698113,85.1063829787234,91.30434782608695
43,8475831,G,Philipp Grubauer,Colorado Avalanche,2057:06,4,2,0,18,12,977,143,27,807,33,869,165,0.9159999999999999,2.6251,36,36,1067,90,57:08,86.66666666666669,81.81818181818183,92.86536248561563
44,8480925,G,Pavel Francouz,Colorado Avalanche,1914:26,4,1,0,21,7,919,114,34,771,34,837,125,0.9229999999999999,2.4132,34,31,996,77,56:18,91.2,100.0,92.11469534050181
45,8469608,G,Mike Smith,Edmonton Oilers,2156:51,6,1,0,19,12,981,140,26,815,31,903,153,0.902,2.9487,39,37,1087,106,55:18,91.5032679738562,83.87096774193549,90.2547065337763
46,8475156,G,Mikko Koskinen,Edmonton Oilers,2116:31,3,1,0,18,13,1078,156,21,901,24,978,173,0.917,2.7498,38,34,1175,97,55:41,90.17341040462429,87.5,92.12678936605316
47,8474651,G,Braden Holtby,Vancouver Canucks,2743:10,6,0,0,25,14,1243,171,36,1036,40,1144,201,0.897,3.1059,48,47,1385,142,57:08,85.07462686567165,90.0,90.55944055944056
48,8477967,G,Thatcher Demko,Vancouver Canucks,1529:03,2,0,0,13,10,744,111,24,609,25,673,124,0.905,3.0607,27,25,822,78,56:37,89.51612903225808,96.0,90.49034175334324
49,8476434,G,John Gibson,Anaheim Ducks,2981:17,5,1,0,20,26,1403,144,37,1222,40,1339,173,0.904,2.9987,51,51,1552,149,58:27,83.23699421965318,92.5,91.26213592233009
50,8471418,G,Anton Khudobin,Dallas Stars,1677:29,4,0,0,16,8,820,125,20,675,21,714,147,0.93,2.2176,30,26,882,62,55:54,85.03401360544217,95.23809523809523,94.53781512605042
51,8471750,G,Ben Bishop,Dallas Stars,2473:49,4,2,0,21,16,1183,171,37,975,38,1055,193,0.92,2.4982,44,43,1286,103,56:13,88.60103626943004,97.36842105263158,92.4170616113744
52,8471734,G,Jonathan Quick,Los Angeles Kings,2516:14,4,1,0,16,22,1107,139,41,927,41,1016,167,0.904,2.7899,42,42,1224,117,59:54,83.23353293413173,100.0,91.24015748031496
53,8477361,G,Calvin Petersen,Los Angeles Kings,477:22,0,0,0,5,3,248,34,8,206,8,224,37,0.922,2.6395,8,8,269,21,59:40,91.8918918918919,100.0,91.96428571428572
54,8471227,G,Devan Dubnyk,San Jose Sharks,1664:39,2,1,0,12,15,756,114,19,623,21,693,135,0.89,3.3521,30,28,849,93,55:29,84.44444444444444,90.4761904761905,89.89898989898991
55,8474889,G,Martin Jones,San Jose Sharks,2359:50,2,2,0,17,21,1021,191,31,799,34,897,208,0.8959999999999999,3.0002,41,40,1139,118,57:33,91.82692307692308,91.17647058823529,89.07469342251952
