,ID,FullName,Link,PosCode,PosName,PosType,PosAbbreviation,Team
227,8477021,Alexander Kerfoot,/api/v1/people/8477021,C,Center,Forward,C,Toronto Maple Leafs
228,8477180,Aaron Dell,/api/v1/people/8477180,G,Goalie,Goalie,G,Toronto Maple Leafs
229,8477464,Nic Petan,/api/v1/people/8477464,C,Center,Forward,C,Toronto Maple Leafs
230,8477939,William Nylander,/api/v1/people/8477939,R,Right Wing,Forward,RW,Toronto Maple Leafs
231,8478115,Pierre Engvall,/api/v1/people/8478115,L,Left Wing,Forward,LW,Toronto Maple Leafs
232,8478483,Mitchell Marner,/api/v1/people/8478483,R,Right Wing,Forward,RW,Toronto Maple Leafs
233,8479315,Joey Anderson,/api/v1/people/8479315,R,Right Wing,Forward,RW,Toronto Maple Leafs
234,8479318,Auston Matthews,/api/v1/people/8479318,C,Center,Forward,C,Toronto Maple Leafs
235,8479361,Joseph Woll,/api/v1/people/8479361,G,Goalie,Goalie,G,Toronto Maple Leafs
236,8480157,Calle Rosen,/api/v1/people/8480157,D,Defenseman,Defenseman,D,Toronto Maple Leafs
237,8480873,Rasmus Sandin,/api/v1/people/8480873,D,Defenseman,Defenseman,D,Toronto Maple Leafs
238,8481582,Nicholas Robertson,/api/v1/people/8481582,L,Left Wing,Forward,LW,Toronto Maple Leafs
239,8477488,Brett Pesce,/api/v1/people/8477488,D,Defenseman,Defenseman,D,Carolina Hurricanes
240,8477998,Warren Foegele,/api/v1/people/8477998,L,Left Wing,Forward,LW,Carolina Hurricanes
241,8473503,James Reimer,/api/v1/people/8473503,G,Goalie,Goalie,G,Carolina Hurricanes
242,8473533,Jordan Staal,/api/v1/people/8473533,C,Center,Forward,C,Carolina Hurricanes
243,8474581,Jake Gardiner,/api/v1/people/8474581,D,Defenseman,Defenseman,D,Carolina Hurricanes
244,8475799,Nino Niederreiter,/api/v1/people/8475799,R,Right Wing,Forward,RW,Carolina Hurricanes
245,8475852,Petr Mrazek,/api/v1/people/8475852,G,Goalie,Goalie,G,Carolina Hurricanes
246,8475855,Jesper Fast,/api/v1/people/8475855,R,Right Wing,Forward,RW,Carolina Hurricanes
247,8476288,Ryan Dzingel,/api/v1/people/8476288,C,Center,Forward,C,Carolina Hurricanes
248,8476323,Max McCormick,/api/v1/people/8476323,L,Left Wing,Forward,LW,Carolina Hurricanes
249,8476389,Vincent Trocheck,/api/v1/people/8476389,C,Center,Forward,C,Carolina Hurricanes
250,8476462,Dougie Hamilton,/api/v1/people/8476462,D,Defenseman,Defenseman,D,Carolina Hurricanes
251,8476869,Brady Skjei,/api/v1/people/8476869,D,Defenseman,Defenseman,D,Carolina Hurricanes
252,8476882,Teuvo Teravainen,/api/v1/people/8476882,L,Left Wing,Forward,LW,Carolina Hurricanes
253,8476921,Jordan Martinook,/api/v1/people/8476921,L,Left Wing,Forward,LW,Carolina Hurricanes
254,8476934,Brock McGinn,/api/v1/people/8476934,L,Left Wing,Forward,LW,Carolina Hurricanes
255,8476958,Jaccob Slavin,/api/v1/people/8476958,D,Defenseman,Defenseman,D,Carolina Hurricanes
256,8477046,Joakim Ryan,/api/v1/people/8477046,D,Defenseman,Defenseman,D,Carolina Hurricanes
257,8477968,Alex Nedeljkovic,/api/v1/people/8477968,G,Goalie,Goalie,G,Carolina Hurricanes
258,8477981,Roland McKeown,/api/v1/people/8477981,D,Defenseman,Defenseman,D,Carolina Hurricanes
259,8478427,Sebastian Aho,/api/v1/people/8478427,C,Center,Forward,C,Carolina Hurricanes
260,8479402,Jake Bean,/api/v1/people/8479402,D,Defenseman,Defenseman,D,Carolina Hurricanes
261,8479987,Morgan Geekie,/api/v1/people/8479987,C,Center,Forward,C,Carolina Hurricanes
262,8480039,Martin Necas,/api/v1/people/8480039,C,Center,Forward,C,Carolina Hurricanes
263,8480830,Andrei Svechnikov,/api/v1/people/8480830,R,Right Wing,Forward,RW,Carolina Hurricanes
264,8477505,Alex Wennberg,/api/v1/people/8477505,C,Center,Forward,C,Florida Panthers
265,8479066,Ryan Lomberg,/api/v1/people/8479066,L,Left Wing,Forward,LW,Florida Panthers
266,8480185,Eetu Luostarinen,/api/v1/people/8480185,C,Center,Forward,C,Florida Panthers
267,8471735,Keith Yandle,/api/v1/people/8471735,D,Defenseman,Defenseman,D,Florida Panthers
268,8471873,Anton Stralman,/api/v1/people/8471873,D,Defenseman,Defenseman,D,Florida Panthers
269,8471887,Patric Hornqvist,/api/v1/people/8471887,R,Right Wing,Forward,RW,Florida Panthers
270,8475462,Radko Gudas,/api/v1/people/8475462,D,Defenseman,Defenseman,D,Florida Panthers
271,8475683,Sergei Bobrovsky,/api/v1/people/8475683,G,Goalie,Goalie,G,Florida Panthers
272,8475792,Brett Connolly,/api/v1/people/8475792,R,Right Wing,Forward,RW,Florida Panthers
